SKU,Description,Department,Class Name,Sub Class Name,dimx,dimy,dimz,weight,,Class,Conveyable Results,NSST Results,Override,Result,Zone,Daily Units,Daily Hits,Daily Cube,Slots,SKU,Min,Max,Heavy,Liquid,Ship-Ready,Bulk Locations,Desired Profile,Module,Slots,SKU,Min,Max,SKU Volume,Recalculated Max,Assigned Slot
1003425977,ELMBROOK COMPLETE SOLUTION ELG TOILE,029B,32 - TOILETS & SEATS,7 - TOILETS,31.7,26.78,17.1,114.75,26.78,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,1.928767123,1.04109589,16.20324511,FALSE,1003425977,12,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,1003425977,IGNORE,IGNORE,IGNORE,IGNORE,
1003809313,WESTCOURT 61 IN. W BATH VANITY IN ST,029B,22 - VANITIES,10 - VANITY COMBOS,24.81,41.38,63.31,255.997,41.38,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.430136986,0.430136986,16.17903498,FALSE,1003809313,5,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,1003809313,IGNORE,IGNORE,IGNORE,IGNORE,
643364,TOTER 32GAL REFUSE/YARD WASTE CART,028I,4 - CLEANING,6 - OUTDOOR TRASH CANS,23.5,37,19.8,20.1,23.5,DFS,NC,BULK (Clamp),BULK (Clamp),BULK (Clamp),BK3,1.575342466,1.460273973,15.69516981,FALSE,643364,7,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,643364,IGNORE,IGNORE,IGNORE,IGNORE,
631254,"GLACIER BAY 24"" VANITY COMBO WHT",029B,22 - VANITIES,10 - VANITY COMBOS,20.25,33.5,25.5,70,25.5,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,1.479452055,0.509589041,14.8104131,FALSE,631254,5,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,631254,IGNORE,IGNORE,IGNORE,IGNORE,
1002279723,"36"" SINK BASE CABINET-CWH",029B,25 - IN STOCK KITCHEN & ACCES,2 - ASMBLD FINISHED CABINETS,36.38,25.88,35.63,65.5,35.63,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.761643836,0.580821918,14.78600955,FALSE,1002279723,5,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,1002279723,IGNORE,IGNORE,IGNORE,IGNORE,
1002941690,LANCASTER 60.25 IN. W VANITY IN WHIT,029B,22 - VANITIES,10 - VANITY COMBOS,63.12,39,21.75,206.99,39,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.476712329,0.476712329,14.77078253,FALSE,1002941690,5,See Con,N,,Y,5,IGNORE,IGNORE,IGNORE,1002941690,IGNORE,IGNORE,IGNORE,IGNORE,
1002953222,HUSKY 1-DRAWER 2-DOOR BASE CABINET,059S,16 - GARAGE/GENERAL ORGANIZE,5 - GARAGE CABINETS,20,33.27,30.31,77,30.31,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,1.263013699,1.263013699,14.74120737,FALSE,1002953222,5,See Con,N,,Y,5,IGNORE,IGNORE,IGNORE,1002953222,IGNORE,IGNORE,IGNORE,IGNORE,
1002855245,MAUI 5 FT. LH TUB WHITE,029B,23 - TUBS AND SHOWERS,2 - TUBS,32.5,19.2,61.5,91.4,32.5,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,0.657534247,0.410958904,14.60273973,FALSE,1002855245,5,See Con,N,,Y,5,IGNORE,IGNORE,IGNORE,1002855245,IGNORE,IGNORE,IGNORE,IGNORE,
1002357656,"36""X80"" RH PREM 6P OS IMPACT NBM",30,24 - EXTERIOR DOORS,3 - COMMODITY STEEL DOORS,6,80,36,100,36,DFS,NC,D&P,,D&P,SR2,1.383561644,0.515068493,13.83561644,FALSE,1002357656,5,See Con,N,,N,0,IGNORE,IGNORE,IGNORE,1002357656,IGNORE,IGNORE,IGNORE,IGNORE,
1001301831,40GAL/4500W ELEC MED PERF W/H N3,026P,10 - WATER HEATERS,8 - ELECTRIC,21.4375,54.125,21.4375,100,21.4375,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.950684932,0.717808219,13.68481896,FALSE,1001301831,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1001301831,IGNORE,IGNORE,IGNORE,IGNORE,
1004869210,KOHLER ELMBROOK 5' RH TUB,029B,23 - TUBS AND SHOWERS,2 - TUBS,62.4,17.5,32.5,74,32.5,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.649315068,0.569863014,13.33575913,FALSE,1004869210,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1004869210,IGNORE,IGNORE,IGNORE,IGNORE,
1002625760,HMDR1000BE MC10.1 CU.FT.TOP MOUNT BL,029A,13 - REFRIGERATION,2 - COMPACT REFRIGERATOR,27.6,62.79,25.2,130,27.6,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.526027397,0.383561644,13.29427726,FALSE,1002625760,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1002625760,IGNORE,IGNORE,IGNORE,IGNORE,
1002691161,SUNCAST VISTA 7X7 RESIN SHED,028I,21 - STORAGE BUILDINGS,5 - SMALL PLASTIC STORAGE,49,88,16.32,325,49,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.317808219,0.257534247,12.94256317,FALSE,1002691161,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1002691161,IGNORE,IGNORE,IGNORE,IGNORE,
1002855244,MAUI 5 FT. RH TUB WHITE,029B,23 - TUBS AND SHOWERS,2 - TUBS,61.8,18.75,32,89.5,32,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,0.597260274,0.356164384,12.81621005,FALSE,1002855244,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1002855244,IGNORE,IGNORE,IGNORE,IGNORE,
1002357645,"36""X80"" LH PREM 6P OS IMPACT NBM",30,24 - EXTERIOR DOORS,3 - COMMODITY STEEL DOORS,6,80,36,100,36,DFS,NC,D&P,,D&P,SR2,1.265753425,0.452054795,12.65753425,FALSE,1002357645,5,See Con,N,,N,0,IGNORE,IGNORE,IGNORE,1002357645,IGNORE,IGNORE,IGNORE,IGNORE,
1002818406,"CE 30IN DIRECT DRIVE 5,000 CFM",029A,17 - A/CS AND FANS,4 - FANS,48,74,48,49.499,48,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.126027397,0.060273973,12.4347032,FALSE,1002818406,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1002818406,IGNORE,IGNORE,IGNORE,IGNORE,
1004869199,KOHLER ELMBROOK 5' LH TUB,029B,23 - TUBS AND SHOWERS,2 - TUBS,62.5,17.5,32.5,74,32.5,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.597260274,0.542465753,12.28630573,FALSE,1004869199,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1004869199,IGNORE,IGNORE,IGNORE,IGNORE,
1005034163,EVERDEAN 48.5 IN. W X 18.75 IN. D VA,029B,22 - VANITIES,10 - VANITY COMBOS,22.06,39.25,51.31,206.998,39.25,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.471232877,0.471232877,12.11543545,FALSE,1005034163,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1005034163,IGNORE,IGNORE,IGNORE,IGNORE,
1005261406,GLEAM SKIRTED TOILET,029B,32 - TOILETS & SEATS,7 - TOILETS,30.5,28.25,16.75,132,28.25,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,1.430136986,1.208219178,11.94447328,FALSE,1005261406,18,See Con,N,,N,4,IGNORE,IGNORE,IGNORE,1005261406,IGNORE,IGNORE,IGNORE,IGNORE,
1001300476,30GAL/4500W ELEC SHRT PERF BLKT N3,026P,10 - WATER HEATERS,8 - ELECTRIC,30.6875,38.1875,31.3125,113,31.3125,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.553424658,0.336986301,11.75209375,FALSE,1001300476,5,See Con,N,,N,4,IGNORE,IGNORE,IGNORE,1001300476,IGNORE,IGNORE,IGNORE,IGNORE,
1002928626,MILW 61IN 11DRWR 22 IN DP MWB-,025T,11 - STORAGE DEVICES,6 - CHESTS/CABINETS,27.36,34,64.37,430,34,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.336986301,0.336986301,11.67742342,FALSE,1002928626,5,See Con,N,,N,4,IGNORE,IGNORE,IGNORE,1002928626,IGNORE,IGNORE,IGNORE,IGNORE,
1002185891,HMBC58ST-154-BTL BLT-IN BEV COOLER,029A,13 - REFRIGERATION,3 - WINE COOLERS,27.2,37,25.4,103.099,27.2,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.789041096,0.775342466,11.67240183,FALSE,1002185891,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1002185891,IGNORE,IGNORE,IGNORE,IGNORE,
1000005024,"GLACIER BAY 36"" WHT VNTY W/ WHT TOP",029B,22 - VANITIES,10 - VANITY COMBOS,22.06,39,39.25,104,39,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.567123288,0.295890411,11.08264747,FALSE,1000005024,5,See Con,N,,Y,4,IGNORE,IGNORE,IGNORE,1000005024,IGNORE,IGNORE,IGNORE,IGNORE,
1001488135,HUSKY 6FT WOOD TOP WORKBENCH,059S,16 - GARAGE/GENERAL ORGANIZE,12 - GARAGE WORKBENCH,28.35,8.23,75.83,125,28.35,DFC,NC,D&P,,D&P,SR2,1.04109589,1.04109589,10.65960099,FALSE,1001488135,5,See Con,N,,Y,0,IGNORE,IGNORE,IGNORE,1001488135,IGNORE,IGNORE,IGNORE,IGNORE,
1003520647,HDX 2PLY PAPER TOWEL 12=24,028I,4 - CLEANING,22 - PAPER,9.7,22,15,6.75,15,DFS,NC,CF,BK (Other),BK (Other),NONE,5.742465753,3.698630137,10.63751903,FALSE,1003520647,24,See Con,N,,N,0,IGNORE,IGNORE,IGNORE,1003520647,IGNORE,IGNORE,IGNORE,IGNORE,
1003120585,HMDR1000ST MC10.1 CU.FT.TOP MOUNT SS,029A,13 - REFRIGERATION,2 - COMPACT REFRIGERATOR,27.6,62.1,25.2,136.999,27.6,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.419178082,0.238356164,10.47746096,FALSE,1003120585,5,See Con,N,,N,4,IGNORE,IGNORE,IGNORE,1003120585,IGNORE,IGNORE,IGNORE,IGNORE,
1004956918,77X78X24 4-SHELF I-BEAM WELDED BLACK,059S,16 - GARAGE/GENERAL ORGANIZE,3 - STEEL FIXTURES,24.8,8.65,80,143.3,24.8,DFS,NC,D&P,,D&P,SR2,1.049315068,0.498630137,10.42125317,FALSE,1004956918,6,See Con,N,,Y,0,IGNORE,IGNORE,IGNORE,1004956918,IGNORE,IGNORE,IGNORE,IGNORE,
218340,1/2 LITER WATER 24PK,026P,9 - WATER TREATMENTS,13 - WATER,14.75,8.1,11.4,27.6,11.4,DFS,NC,CF,BK (Other),BK (Other),NONE,13.2,0.194520548,10.40428125,FALSE,218340,84,See Con,N,,N,0,IGNORE,IGNORE,IGNORE,218340,IGNORE,IGNORE,IGNORE,IGNORE,
1005536234,"CIMARRON EB 2PC TLT, REV 360",029B,32 - TOILETS & SEATS,7 - TOILETS,31.44,26.88,16.63,105,26.88,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,1.268493151,0.761643836,10.31688143,FALSE,1005536234,18,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1005536234,IGNORE,IGNORE,IGNORE,IGNORE,
1002185920,HMWC50ST-50-BTTL BLT-IN WINE COOLER,029A,13 - REFRIGERATION,3 - WINE COOLERS,27.2,37,25.4,102.299,27.2,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.693150685,0.684931507,10.25388077,FALSE,1002185920,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1002185920,IGNORE,IGNORE,IGNORE,IGNORE,
1005673850,MDTF18WH VISSANI 18CF REFRIGERATOR W,029A,13 - REFRIGERATION,4 - TOP MOUNT,32.68,69.88,30.71,185.188,32.68,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.238356164,0.208219178,9.673806822,FALSE,1005673850,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1005673850,IGNORE,IGNORE,IGNORE,IGNORE,
1002279728,"30"" BASE CABINET-CWH",029B,25 - IN STOCK KITCHEN & ACCES,2 - ASMBLD FINISHED CABINETS,25.88,30.38,35.63,72.499,30.38,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.594520548,0.345205479,9.638090393,FALSE,1002279728,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1002279728,IGNORE,IGNORE,IGNORE,IGNORE,
1004415103,RYB ONE+ 6 TOOL COMBO KIT,025T,9 - PORTABLE POWER,5 - COMBO KITS,14.15,8.8,17.95,23.37,14.15,DFC,3-Deep,SR-CON,,3-Deep,CP2,7.446575342,7.030136986,9.631998687,1,1004415103,8,67,N,,Y,0,Pallet Flow,2,1,1004415103,8,67,2235.134,173,
1005170250,DW 20V 7PC TOUGH SYSTEM KIT,025T,9 - PORTABLE POWER,5 - COMBO KITS,23.25,24.5,17.9,50.7,23.25,DFC,3-Deep,BULK (Clamp),,3-Deep,CP2,1.605479452,1.605479452,9.47333916,1,1005170250,3,15,N,,Y,0,Pallet Flow,2,1,1005170250,3,15,10196.2875,38,
1002556955,72 IN. 18-DRAWER MOBILE WORKBENCH WI,025T,11 - STORAGE DEVICES,6 - CHESTS/CABINETS,27.8,40,75.6,617,40,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.194520548,0.194520548,9.463424658,FALSE,1002556955,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1002556955,IGNORE,IGNORE,IGNORE,IGNORE,
775957,ARTIFICIAL GRASS RUG 6'X8',023F,2 - STOCK CARPET/MODULAR/UTI,22 - PRECUT GRASS,96,6.24,6.24,7.9,6.24,DFS,NC,OBLONG,ST,ST,BK3,4.37260274,1.663013699,9.458814247,FALSE,775957,20,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,775957,IGNORE,IGNORE,IGNORE,IGNORE,
1004636878,SUNCAST XL VERTICAL SHED,028I,21 - STORAGE BUILDINGS,5 - SMALL PLASTIC STORAGE,46.568,78.318,12.847,190.4,46.568,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.345205479,0.320547945,9.360193812,FALSE,1004636878,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1004636878,IGNORE,IGNORE,IGNORE,IGNORE,
1001404774,"JM R13 KF 15""X32' ROLL INSUL 40SF",22,4 - INSULATION,7 - FIBERGLASS ROLLS,17,15.5,17.5,10.1,17,DFS,NC,CF,BK (Other),BK (Other),NONE,3.493150685,0.065753425,9.321638366,FALSE,1001404774,27,See Con,N,,N,0,IGNORE,IGNORE,IGNORE,1001404774,IGNORE,IGNORE,IGNORE,IGNORE,
1002357395,30X80 RH4-9/16 FJ MLD 6PNL 366HC,30,25 - INTERIOR DOORS,12 - MOLDED PREHUNG UNIT,4.563,80,32,40,32,DFS,NC,D&P,,D&P,SR2,1.37260274,0.438356164,9.278794521,FALSE,1002357395,5,See Con,N,,N,0,IGNORE,IGNORE,IGNORE,1002357395,IGNORE,IGNORE,IGNORE,IGNORE,
1003951329,"HIGHLINE ARC 2-PC, CH PB",029B,32 - TOILETS & SEATS,7 - TOILETS,29.66,27.18,16.84,98.7,27.18,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,1.161643836,0.775342466,9.126241149,FALSE,1003951329,18,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1003951329,IGNORE,IGNORE,IGNORE,IGNORE,
444916,TOTER 96GAL REFUSE/YARD WASTE CART,028I,4 - CLEANING,6 - OUTDOOR TRASH CANS,35,43,29,44,35,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.35890411,0.115068493,9.065028856,FALSE,444916,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,444916,IGNORE,IGNORE,IGNORE,IGNORE,
982937,"SAFESND RKWOOL15-1/4""X47"" INSUL59.7S",22,4 - INSULATION,11 - MINERAL WOOL,47,15.25,16,37.8,16,DFS,NC,BULK (Clamp),BULK (Clamp),BULK (Clamp),BK3,1.364383562,0.038356164,9.054832572,FALSE,982937,12,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,982937,IGNORE,IGNORE,IGNORE,IGNORE,
1001624266,"DEWALT 12"" DOUBLE BEVEL SLIDE MITERS",025T,9 - PORTABLE POWER,22 - MITER/CHOP SAWS,33,23.75,18.8,68,23.75,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,1.057534247,1.021917808,9.017499049,FALSE,1001624266,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1001624266,IGNORE,IGNORE,IGNORE,IGNORE,
476085,RIDGID 4 GAL PORTABLE WET/DRY VAC,025T,14 - WET DRY VACS,14 - SMALL CAPACITY PRO,20.8,14.4,16.7,18.15,16.7,DFC,3-Deep,SR-CON,,3-Deep,CP2,3.101369863,2.909589041,8.977431963,1,476085,6,30,N,,Y,0,Pallet Flow,2,1,476085,6,30,5001.984,78,
1003191847,HMWC44DZ MC44 BOTTLE WINE COOLER SS,029A,13 - REFRIGERATION,3 - WINE COOLERS,27.2,37,25.4,112.4,27.2,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.605479452,0.602739726,8.956947235,FALSE,1003191847,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1003191847,IGNORE,IGNORE,IGNORE,IGNORE,
1002279684,CORNER BASE CAB WITH LAZY SUSAN-CWH,029B,25 - IN STOCK KITCHEN & ACCES,2 - ASMBLD FINISHED CABINETS,28.88,35.19,29.5,61.999,29.5,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.509589041,0.37260274,8.841273253,FALSE,1002279684,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1002279684,IGNORE,IGNORE,IGNORE,IGNORE,
1005143683,CHAMPION TALL HEIGHT ELONGATED,029B,32 - TOILETS & SEATS,7 - TOILETS,28.813,29.937,16,106.4,28.813,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,1.079452055,0.578082192,8.621371479,FALSE,1005143683,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1005143683,IGNORE,IGNORE,IGNORE,IGNORE,
1000477521,BELLWETHER 5 FT. RIGHT DRAIN BATHTUB,029B,23 - TUBS AND SHOWERS,2 - TUBS,72,24,44,325,44,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.194520548,0.194520548,8.55890411,FALSE,1000477521,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1000477521,IGNORE,IGNORE,IGNORE,IGNORE,
1002357398,30X80 LH4-9/16 FJ MLD 6PNL 366HC,30,25 - INTERIOR DOORS,12 - MOLDED PREHUNG UNIT,4.563,80,32,40,32,DFS,NC,D&P,,D&P,SR2,1.263013699,0.4,8.537972603,FALSE,1002357398,5,See Con,N,,N,0,IGNORE,IGNORE,IGNORE,1002357398,IGNORE,IGNORE,IGNORE,IGNORE,
1001779615,50 PD ASSEM L 6068 LOW-E SC HVHZ,30,28 - PATIO DOORS,8 - VINYL PATIO DOORS,6,81,74,80,74,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.405479452,0.249315068,8.439041096,FALSE,1001779615,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1001779615,IGNORE,IGNORE,IGNORE,IGNORE,
768816,8' FG STEP LADDER TI 250LB,22,8 - LADDERS,4 - FIBERGLASS STEP,6.5,97,25,25,25,DFS,NC,BULK (Clamp),ST,ST,BK3,0.917808219,0.868493151,8.372078735,FALSE,768816,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,768816,IGNORE,IGNORE,IGNORE,IGNORE,
1001301858,50GAL/4500W ELEC MED PERF W/H N3,026P,10 - WATER HEATERS,8 - ELECTRIC,24.25,53,24.25,121,24.25,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,0.463013699,0.37260274,8.351211017,FALSE,1001301858,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1001301858,IGNORE,IGNORE,IGNORE,IGNORE,
1002279710,"18"" X 84"" PANTRY-CWH",029B,25 - IN STOCK KITCHEN & ACCES,2 - ASMBLD FINISHED CABINETS,25.75,84.75,18.5,99.999,25.75,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.353424658,0.21369863,8.257370594,FALSE,1002279710,5,See Con,N,,N,3,IGNORE,IGNORE,IGNORE,1002279710,IGNORE,IGNORE,IGNORE,IGNORE,
1005205488,50 GAL GEN V PLUS HYBRID 10Y WIFI,026P,10 - WATER HEATERS,8 - ELECTRIC,27.5,64.5,26.4,196,27.5,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.304109589,0.246575342,8.241053082,FALSE,1005205488,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1005205488,IGNORE,IGNORE,IGNORE,IGNORE,
1003877278,LANCASTER 48 IN. W X 18.75 IN. D BAT,029B,22 - VANITIES,10 - VANITY COMBOS,21.94,21.94,51.31,180.998,21.94,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.575342466,0.575342466,8.223523792,FALSE,1003877278,5,See Con,N,,Y,3,IGNORE,IGNORE,IGNORE,1003877278,IGNORE,IGNORE,IGNORE,IGNORE,
